[2021-03-27 17:52:07]: Path: save/1616881927/ is created
[2021-03-27 17:52:14]: Start train process.
[2021-03-27 18:26:15]: | epoch  11 |  2600/ 3494 batches | rec loss 0.3196 | dis loss 0.1639 |
[2021-03-27 18:26:25]: | epoch  11 |  2800/ 3494 batches | rec loss 0.3568 | dis loss 0.1867 |
[2021-03-27 18:26:34]: | epoch  11 |  3000/ 3494 batches | rec loss 0.3604 | dis loss 0.2212 |
[2021-03-27 18:26:44]: | epoch  11 |  3200/ 3494 batches | rec loss 0.3073 | dis loss 0.1437 |
[2021-03-27 18:26:54]: | epoch  11 |  3400/ 3494 batches | rec loss 0.2978 | dis loss 0.1744 |
[2021-03-27 18:26:59]: | end of epoch  11 | time: 169.18s |
[2021-03-27 18:26:59]: | epoch  12 |     0/ 3494 batches | rec loss 0.3861 | dis loss 0.2246 |
[2021-03-27 18:27:09]: | epoch  12 |   200/ 3494 batches | rec loss 0.3699 | dis loss 0.3693 |
[2021-03-27 18:27:18]: | epoch  12 |   400/ 3494 batches | rec loss 0.2850 | dis loss 0.1860 |
[2021-03-27 18:27:28]: | epoch  12 |   600/ 3494 batches | rec loss 0.2945 | dis loss 0.1395 |
[2021-03-27 18:27:38]: | epoch  12 |   800/ 3494 batches | rec loss 0.3567 | dis loss 0.2174 |
[2021-03-27 18:27:48]: | epoch  12 |  1000/ 3494 batches | rec loss 0.2937 | dis loss 0.1101 |
[2021-03-27 18:27:57]: | epoch  12 |  1200/ 3494 batches | rec loss 0.2908 | dis loss 0.1948 |
[2021-03-27 18:28:07]: | epoch  12 |  1400/ 3494 batches | rec loss 0.3082 | dis loss 0.1729 |
[2021-03-27 18:28:17]: | epoch  12 |  1600/ 3494 batches | rec loss 0.3652 | dis loss 0.1065 |
[2021-03-27 18:28:26]: | epoch  12 |  1800/ 3494 batches | rec loss 0.3128 | dis loss 0.1413 |
[2021-03-27 18:28:36]: | epoch  12 |  2000/ 3494 batches | rec loss 0.3293 | dis loss 0.1594 |
[2021-03-27 18:28:46]: | epoch  12 |  2200/ 3494 batches | rec loss 0.2648 | dis loss 0.1783 |
[2021-03-27 18:28:56]: | epoch  12 |  2400/ 3494 batches | rec loss 0.2470 | dis loss 0.1265 |
[2021-03-27 18:29:05]: | epoch  12 |  2600/ 3494 batches | rec loss 0.3188 | dis loss 0.1611 |
